Old URL,New URL,Similarity,Redirect Type,Notes
https://www.acpm.fr/Support/la-gazette-des-communes-des-departements-et-des-regions,https://sigp2-prod.acpm.fr/les-membres/support/la-gazette-des-communes-des-departements-et-des-regions,91.4%,301,High confidence
https://www.acpm.fr/Les-membres/Intermediaires-de-Presse,https://sigp2-prod.acpm.fr/les-membres/membre/intermediaires-de-presse,91.4%,301,High confidence
https://www.acpm.fr/Support/couplage-le-parisien-aujourd-hui-en-france-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/couplage-le-parisien-aujourd-hui-en-france-dimanche,90.9%,301,High confidence
https://www.acpm.fr/Marque/marque-famille-et-education-magazine-de-l-apel,https://sigp2-prod.acpm.fr/les-membres/marque/marque-famille-et-education-magazine-de-l-apel,90.0%,301,High confidence
https://www.acpm.fr/Support/le-journal-du-batiment-et-des-travaux-publics,https://sigp2-prod.acpm.fr/les-membres/support/le-journal-du-batiment-et-des-travaux-publics,90.0%,301,High confidence
https://www.acpm.fr/Support/le-parisien-aujourd-hui-en-france-week-end,https://sigp2-prod.acpm.fr/les-membres/support/le-parisien-aujourd-hui-en-france-week-end,89.5%,301,High confidence
https://www.acpm.fr/Support/couplage-le-parisien-aujourd-hui-en-france,https://sigp2-prod.acpm.fr/les-membres/support/couplage-le-parisien-aujourd-hui-en-france,89.5%,301,High confidence
https://www.acpm.fr/Support/les-nouvelles-de-la-boulangerie-patisserie,https://sigp2-prod.acpm.fr/les-membres/support/les-nouvelles-de-la-boulangerie-patisserie,89.5%,301,High confidence
https://www.acpm.fr/Informations-legales,https://sigp2-prod.acpm.fr/page/informations-legales,89.4%,301,High confidence
https://www.acpm.fr/Marque/marque-la-nouvelle-republique-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-nouvelle-republique-des-pyrenees,89.3%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-d-ici-tarn-et-lauragais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-d-ici-tarn-et-lauragais,89.1%,301,High confidence
https://www.acpm.fr/Marque/marque-la-vie-du-jardin-et-des-jardiniers,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-vie-du-jardin-et-des-jardiniers,89.1%,301,High confidence
https://www.acpm.fr/Support/famille-et-education-magazine-de-l-apel,https://sigp2-prod.acpm.fr/les-membres/support/famille-et-education-magazine-de-l-apel,88.9%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-du-palais-de-bourgogne,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-du-palais-de-bourgogne,88.9%,301,High confidence
https://www.acpm.fr/Marque/marque-le-parisien-aujourd-hui-en-france,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-parisien-aujourd-hui-en-france,88.9%,301,High confidence
https://www.acpm.fr/Marque/marque-l-ami-des-jardins-et-de-la-maison,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-ami-des-jardins-et-de-la-maison,88.9%,301,High confidence
https://www.acpm.fr/Marque/marque-la-haute-saone-agricole-et-rurale,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-haute-saone-agricole-et-rurale,88.9%,301,High confidence
https://www.acpm.fr/Marque/marque-le-chirurgien-dentiste-de-france,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-chirurgien-dentiste-de-france,88.7%,301,High confidence
https://www.acpm.fr/Marque/marque-investir-le-journal-des-finances,https://sigp2-prod.acpm.fr/les-membres/marque/marque-investir-le-journal-des-finances,88.7%,301,High confidence
https://www.acpm.fr/Les-membres/Editeurs-numerique,https://sigp2-prod.acpm.fr/les-membres/membre/editeurs-numeriques,88.6%,301,High confidence
https://www.acpm.fr/Support/daniel-feau-belles-demeures-de-france,https://sigp2-prod.acpm.fr/les-membres/support/daniel-feau-belles-demeures-de-france,88.5%,301,High confidence
https://www.acpm.fr/Support/le-journal-de-saone-et-loire-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/le-journal-de-saone-et-loire-dimanche,88.5%,301,High confidence
https://www.acpm.fr/Marque/marque-l-us-l-univeersite-syndicaliste,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-us-l-univeersite-syndicaliste,88.5%,301,High confidence
https://www.acpm.fr/Marque/marque-les-nouvelles-de-la-boulangerie,https://sigp2-prod.acpm.fr/les-membres/marque/marque-les-nouvelles-de-la-boulangerie,88.5%,301,High confidence
https://www.acpm.fr/Support/centre-presse-le-journal-de-l-aveyron,https://sigp2-prod.acpm.fr/les-membres/support/centre-presse-le-journal-de-l-aveyron,88.5%,301,High confidence
https://www.acpm.fr/Support/couplage-observateur-toutes-editions,https://sigp2-prod.acpm.fr/les-membres/support/couplage-observateur-toutes-editions,88.2%,301,High confidence
https://www.acpm.fr/Support/le-democrate-independant-de-bergerac,https://sigp2-prod.acpm.fr/les-membres/support/le-democrate-independant-de-bergerac,88.2%,301,High confidence
https://www.acpm.fr/Marque/marque-verre-et-menuiserie-actualites,https://sigp2-prod.acpm.fr/les-membres/marque/marque-verre-et-menuiserie-actualites,88.2%,301,High confidence
https://www.acpm.fr/Support/l-hebdo-de-l-ardeche-terre-vivaroise,https://sigp2-prod.acpm.fr/les-membres/support/l-hebdo-de-l-ardeche-terre-vivaroise,88.2%,301,High confidence
https://www.acpm.fr/Support/le-magazine-de-mon-pharmacien-giphar,https://sigp2-prod.acpm.fr/les-membres/support/le-magazine-de-mon-pharmacien-giphar,88.2%,301,High confidence
https://www.acpm.fr/Support/couplage-groupe-nice-matin-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/couplage-groupe-nice-matin-dimanche,88.0%,301,High confidence
https://www.acpm.fr/Support/cumul-centre-presse-aveyron-7-jours,https://sigp2-prod.acpm.fr/les-membres/support/cumul-centre-presse-aveyron-7-jours,88.0%,301,High confidence
https://www.acpm.fr/Support/la-nouvelle-republique-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/support/la-nouvelle-republique-des-pyrenees,88.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-action-agricole-de-touraine,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-action-agricole-de-touraine,88.0%,301,High confidence
https://www.acpm.fr/Support/cumul-le-progres-la-tribune-7-jours,https://sigp2-prod.acpm.fr/les-membres/support/cumul-le-progres-la-tribune-7-jours,88.0%,301,High confidence
https://www.acpm.fr/Marque/marque-dernieres-nouvelles-d-alsace,https://sigp2-prod.acpm.fr/les-membres/marque/marque-dernieres-nouvelles-d-alsace,87.8%,301,High confidence
https://www.acpm.fr/Support/la-vie-du-jardin-et-des-jardiniers,https://sigp2-prod.acpm.fr/les-membres/support/la-vie-du-jardin-et-des-jardiniers,87.8%,301,High confidence
https://www.acpm.fr/Support/the-red-bulletin-version-francaise,https://sigp2-prod.acpm.fr/les-membres/support/the-red-bulletin-version-francaise,87.8%,301,High confidence
https://www.acpm.fr/Support/couplage-groupe-nice-matin-semaine,https://sigp2-prod.acpm.fr/les-membres/support/couplage-groupe-nice-matin-semaine,87.8%,301,High confidence
https://www.acpm.fr/Marque/marque-35-millions-de-proprietaires,https://sigp2-prod.acpm.fr/les-membres/marque/marque-35-millions-de-proprietaires,87.8%,301,High confidence
https://www.acpm.fr/Support/le-journal-d-ici-tarn-et-lauragais,https://sigp2-prod.acpm.fr/les-membres/support/le-journal-d-ici-tarn-et-lauragais,87.8%,301,High confidence
https://www.acpm.fr/Support/la-nouvelle-republique-du-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/la-nouvelle-republique-du-dimanche,87.8%,301,High confidence
https://www.acpm.fr/Marque/marque-la-gazette-de-l-hotel-drouot,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-gazette-de-l-hotel-drouot,87.8%,301,High confidence
https://www.acpm.fr/Support/dernieres-nouvelles-d-alsace-lundi,https://sigp2-prod.acpm.fr/les-membres/support/dernieres-nouvelles-d-alsace-lundi,87.8%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-de-saone-et-loire,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-de-saone-et-loire,87.8%,301,High confidence
